session_year,Legislator,split_id,split_order
1943,"Homes, Fred C.",4,1
1943,"Van Dyke, Frank J.",4,2
1969,"Coffin, Gwen T.",7,2
1969,"Wilson, M. Keith",7,1
1971,"Burns, Keith",8,2
1971,"Haas, Harl H.",8,1
1975,"Chrest, James H.",9,2
1975,"McCoy, William",9,1
1985,"Gillis, Patrick",10,1
1985,"Minnis, John M.",10,2
1987,"Hammerstad, Judie",11,2
1987,"Hooley, Darlene",11,1
1993,"Eighmey, George",12,2
1993,"Stein, Beverly",12,1
1997,"Repine, Bob",13,1
1997,"Wilson, Carl",13,2
2001,"Bowman, Jo Ann",14,1
2001,"Dingfelder, Jackie",14,2
2003,"Shetterly, Lane",15,1
2003,"Thompson, Jim",15,2
2003,"Boone, Deborah",16,2
2003,"Hopson, Elaine M.",16,1
2003,"Williams, Max",17,1
2003,"Yount, Phil",17,2
2003,"Kafoury, Deborah",18,1
2003,"Smith, Joe",18,2
2003,"Westlund, Ben",19,1
2003,"Whisnant, Gene",19,2
2003,"Dallum, John",20,2
2003,"Mabrey, John",20,1
2003,"Hanna, Bruce",21,2
2003,"Kruse, Jeff",21,1
2003,"Holvey, Paul",22,2
2003,"Prozanski, Floyd",22,1
2005,"Cameron, Kevin",23,2
2005,"Doyle, Dan",23,1
2005,"Witt, Bradley",24,2
2005,"Johnson, Elizabeth (Betsy)",24,1
2014,"Boles, Denyc",28,2
2014,"Cameron, Kevin",28,1
2014,"Bailey, Jules",30,1
2014,"Nosse, Rob",30,2
2017,"Gilliam, Vic",31,1
2017,"Lewis, Rick",31,2
